0;AD;42.57952;1.65362
1;AD;42.46372;1.49129
2;AD;42.54277;1.73361
3;AD;42.55623;1.53319
4;AD;42.50729;1.53414
5;AD;42.54499;1.51483
6;AD;42.53474;1.58014
7;AD;42.5676;1.59756
8;AD;42.57205;1.48453
9;AD;42.50779;1.52109
10;AL;39.72833;20.05444
11;AL;39.87556;20.00528
12;AL;39.91028;20.09222
13;AL;39.73278;20.19528
14;AL;39.78917;20.12194
15;AL;39.65889;20.18139
16;AL;39.90778;20.35833
17;AL;39.90639;20.05833
18;AL;39.83611;20.16861
19;AL;39.95111;20.09778
20;AL;39.85861;20.07917
21;AL;40.89139;20.68139
22;AL;40.67778;20.28694
23;AL;41.50222;20.36056
24;AL;40.98083;20.28083
25;AL;42.05056;20.5525
26;AL;41.87611;20.32
27;AL;41.80667;20.33611
28;AL;41.45472;20.02556
29;AL;40.79694;20.77694
30;AL;40.63306;20.58889
31;AL;40.61194;20.69028
32;AL;40.525;20.5825
33;AL;40.20472;20.25944
34;AL;40.62889;20.05389
35;AL;40.00667;20.00889
36;AL;40.50722;20.13472
37;AL;40.95472;20.46222
38;AL;41.90833;20.34694
39;AL;40.96333;20.63917
40;AL;40.83417;20.11194
41;AL;41.02472;20.07833
42;AL;41.41111;20.53556
43;AL;40.91333;20.55306
44;AL;40.37722;20.21333
45;AL;41.69083;20.42167
46;AL;40.29583;20.01917
47;AL;41.99222;20.34417
48;AL;40.88472;20.09944
49;AL;40.37528;20.15472
50;AL;41.57694;20.05139
51;AL;41.00528;20.42306
52;AL;41.33722;20.47
53;AL;41.80111;20.40833
54;AL;40.10722;20.36639
55;AL;40.77611;20.24056
56;AL;41.0975;20.14833
57;AL;41.53;20.42361
58;AL;42.04056;20.43417
59;AL;41.98;20.60583
60;AL;41.05194;20.05333
61;AL;41.92611;20.18833
62;AL;42.10417;20.23833
63;AL;41.6275;20.27917
64;AL;40.10528;20.22944
65;AL;41.68361;20.01917
66;AL;41.09028;20.57639
67;AL;40.73278;20.03944
68;AL;41.08389;20.43806
69;AL;40.1175;20.19972
70;AL;42.09333;20.09056
71;AL;41.06667;20.53528
72;AL;41.07306;20.54889
73;AL;40.98611;20.5025
74;AL;40.69417;20.94028
75;AL;40.48833;20.37333
76;AL;40.94194;20.29861
77;AL;41.13333;20.25833
78;AL;40.61222;20.09806
79;AL;40.72583;20.8375
80;AL;40.9025;20.6525
81;AL;40.88111;20.18278
82;AL;40.785;20.70611
83;AL;40.19944;20.40611
84;AL;40.20944;20.41833
85;AL;41.685;20.42889
86;AL;40.23361;20.35167
87;AL;41.43083;20.45556
88;AL;41.83333;20.08333
89;AL;41.28472;20.21194
90;AL;40.13333;20.16667
91;AL;40.76139;20.69833
92;AL;40.16667;20.04833
93;AL;40.92694;20.00361
94;AL;40.42556;20.67444
95;AL;40.56028;20.74028
96;AL;40.50917;20.92833
97;AL;41.65417;20.46528
98;AL;41.4;20.2
99;AL;41.58889;20.48306
100;AL;40.70583;20.69972
101;AL;41.68861;20.11028
102;AL;41.28917;20.32361
103;AL;42.34139;20.10861
104;AL;41.6275;20.08528
105;AL;40.78667;20.90222
106;AL;41.17944;20.315
107;AL;40.70444;20.70861
108;AL;40.03111;20.26306
109;AL;40.15139;20.59722
110;AL;40.53694;20.31333
111;AL;40.76667;20.39139
112;AL;40.60222;20.5125
113;AL;40.04667;20.1475
114;AL;41.20083;20.15222
115;AL;41.14056;20.14611
116;AL;40.78889;20.18889
117;AL;41.77972;20.08361
118;AL;40.86778;20.36361
119;AL;42.07694;20.42194
120;AL;41.81194;20.05889
121;AL;42.19694;20.41333
122;AL;40.61861;20.78083
123;AL;42.07806;20.34194
124;AL;40.80556;20.25111
125;AL;41.50694;20.08667
126;AL;40.94611;20.00972
127;AL;40.31306;20.18944
128;AL;41.72944;20.37722
129;AL;40.12167;20.0275
130;AL;41.83889;20.36667
131;AL;42.1875;20.0025
132;AL;41.15667;20.39722
133;AL;40.60833;20.91417
134;AL;40.86972;20.18444
135;AL;41.14556;20.24
136;AL;42.2475;20.38028
137;AL;41.53444;20.45
138;AL;40.07583;20.13889
139;AL;41.0225;20.18889
140;AL;42.11806;20.43583
141;AL;41.04306;20.02972
142;AL;41.93778;20.01111
143;AL;41.67972;20.33139
144;AL;41.80611;20.23194
145;AL;41.76056;20.34111
146;AL;41.52194;20.28222
147;AL;42.06222;20.01667
148;AL;40.36889;20.42444
149;AL;42.26056;20.01694
150;AL;42.16694;20.35083
151;AL;40.33778;20.67889
152;AL;41.1125;20.08222
153;AL;40.58333;20.79222
154;AL;40.65139;20.81361
155;AL;40.0325;20.17333
156;AL;41.67361;20.05833
157;AL;40.62917;20.25111
158;AL;40.50417;20.22722
159;AL;40.4175;20.55028
160;AL;40.85139;20.725
161;AL;40.42056;20.26056
162;AL;40.11806;20.54083
163;AL;41.87833;20.50472
164;AL;40.445;20.00472
165;AL;41.87861;20.42194
166;AL;41.61028;20.00889
